State (Emission order)	Genome %	muscle_psoas_NRT_TTSminus.bed	muscle_psoas_NRT_TTSplus.bed	muscle_psoas_RT_TTSminus.bed	muscle_psoas_RT_TTSplus.bed	muscle_psoas_TTSflankRT.bed
1	0.26334	5.65896	6.18038	8.18656	1.53279	3.83228
2	0.34310	5.82318	6.62580	5.11128	2.02418	4.51249
3	0.34101	8.88571	7.05809	7.99126	1.02675	5.23542
4	0.18531	7.27347	5.15240	6.76098	1.55963	4.64666
5	2.66962	0.65707	0.66692	0.37469	0.32763	0.13323
6	0.37875	8.67090	4.89568	7.11725	4.73833	0.99333
7	2.88211	9.44478	5.25977	9.26878	4.88796	1.02169
8	7.05550	3.18528	3.44642	3.64787	4.14299	1.96896
9	0.15331	10.73416	7.60026	16.59157	6.32469	4.95824
10	0.33529	2.11023	1.81562	1.84153	1.84195	0.50984
11	0.16995	15.94702	9.74231	13.67824	9.17320	2.24655
12	0.60060	2.03468	1.69836	1.52582	0.82525	0.70199
13	0.11662	6.97195	8.79737	5.14691	7.60238	8.12849
14	0.19871	2.56914	3.12499	1.47502	2.09675	2.41206
15	0.56620	2.41708	3.40734	2.39032	4.45125	4.37493
16	0.18143	2.64758	3.51302	1.64088	1.70542	3.11454
17	0.63253	2.85484	3.72135	1.79797	3.45500	2.85254
18	0.54807	1.43872	1.77431	2.13663	2.85441	3.75285
19	1.20415	0.63365	1.12136	0.32728	0.78711	1.13802
20	0.13178	5.74092	3.41708	11.12949	4.01614	3.89112
21	0.64779	0.52686	0.83320	1.04092	2.04894	1.88910
22	0.29674	2.22228	2.35229	2.82602	2.82981	2.06859
23	0.19402	1.29879	2.30082	1.08524	0.92759	0.57645
24	0.73501	0.76149	1.20549	0.41172	0.10331	1.16803
25	79.16904	0.27810	0.42020	0.26303	0.46546	0.78909
Base	100	0.5538360115	0.5551318675	0.0366058723	0.0365861538	0.0493325290
